CDS,County Code,District Code,School Code,SARCYear,SELA_Y1,SELA_Y2,DELA_Y1,DELA_Y2,STELA_Y1,STELA_Y2,SMATH_Y1,SMATH_Y2,DMATH_Y1,DMATH_Y2,STMATH_Y1,STMATH_Y2
30664646115406,30,66464,6115406,2015-16,71,71,69,69,44,48,58,54,55,57,34,36
50711676052708,50,71167,6052708,2015-16,30,33,25,27,44,48,24,28,16,17,34,36
19647330124222,19,64733,0124222,2015-16,55,65,34,39,44,48,50,59,25,29,34,36
43694356095988,43,69435,6095988,2015-16,38,34,61,63,44,48,25,29,57,60,34,36
54721736054399,54,72173,6054399,2015-16,52,54,52,54,44,48,45,49,45,49,34,36
19642126068274,19,64212,6068274,2015-16,81,82,59,63,44,48,76,74,48,52,34,36
19647330122242,19,64733,0122242,2015-16,14,29,34,39,44,48,18,13,25,29,34,36
32103220108001,32,10322,0108001,2015-16,24,,15,14,44,48,0,,0,4,34,36
30665306028849,30,66530,6028849,2015-16,71,72,71,74,44,48,54,60,64,67,34,36
15739081534155,15,73908,1534155,2015-16,41,42,24,27,44,48,17,21,16,18,34,36
37683386040117,37,68338,6040117,2015-16,39,41,49,54,44,48,24,23,39,42,34,36
39685936109532,39,68593,6109532,2015-16,43,44,34,39,44,48,28,29,24,25,34,36
03739816002828,03,73981,6002828,2015-16,33,35,38,42,44,48,22,25,25,28,34,36
19647256015531,19,64725,6015531,2015-16,47,54,42,45,44,48,29,38,30,34,34,36
56738746055677,56,73874,6055677,2015-16,74,77,78,78,44,48,73,76,69,72,34,36
10621666057285,10,62166,6057285,2015-16,35,34,28,31,44,48,17,16,18,22,34,36
43695006093058,43,69500,6093058,2015-16,80,82,75,79,44,48,71,69,65,71,34,36
10621580126250,10,62158,0126250,2015-16,--,--,43,45,44,48,--,11,23,28,34,36
44104474430252,44,10447,4430252,2015-16,80,80,49,53,44,48,73,69,38,40,34,36
37684520114264,37,68452,0114264,2015-16,29,21,43,45,44,48,0,3,30,31,34,36
19648816120265,19,64881,6120265,2015-16,31,32,37,42,44,48,27,28,29,30,34,36
50710436120828,50,71043,6120828,2015-16,10,--,35,39,44,48,9,--,20,20,34,36
33670586031926,33,67058,6031926,2015-16,38,49,45,49,44,48,33,36,28,33,34,36
19647330124511,19,64733,0124511,2015-16,53,41,34,39,44,48,14,6,25,29,34,36
37681060127241,37,68106,0127241,2015-16,81,85,65,64,44,48,38,42,30,32,34,36
05615560532507,05,61556,0532507,2015-16,46,64,44,62,44,48,25,36,23,34,34,36
30665636029037,30,66563,6029037,2015-16,31,37,29,34,44,48,15,19,19,25,34,36
19647336016257,19,64733,6016257,2015-16,55,53,34,39,44,48,40,45,25,29,34,36
30736430102871,30,73643,0102871,2015-16,84,83,57,62,44,48,64,66,49,52,34,36
33671243330396,33,67124,3330396,2015-16,53,58,29,30,44,48,17,20,17,18,34,36
36678196036263,36,67819,6036263,2015-16,22,27,28,34,44,48,18,17,18,21,34,36
19649076021869,19,64907,6021869,2015-16,34,32,35,38,44,48,37,28,20,25,34,36
07617966004766,07,61796,6004766,2015-16,24,27,33,35,44,48,17,15,23,25,34,36
19650526022958,19,65052,6022958,2015-16,61,63,67,70,44,48,63,62,64,64,34,36
